,video name,,,,,,,,,,,,,,,,,,SUBJECTS' RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standing423_2M.yuv,60,49,,48,50,31,,47,58,40,20,,,20,40,60,35,60,55,40,30,56,38,50,40,48,48,91,65,,23,70,38,30,40,40,75,56,25,,46.3529411764706,,,,57,,,,40,,,,,50,51,,,,,,,,,,,,,,,,,40,,,,,,,,,
,standing423_3M.yuv,40,38,,54,60,38,,48,62,30,50,,,40,40,60,45,40,69,50,50,56,41,74,40,50,58,93,70,,36,80,51,40,50,48,80,57,35,,52.1470588235294,,,,50,,,,70,,,,,50,51,,,,,,,,,,,,,,,,,39,,,,,,,,,
,standing423_5M.yuv,80,60,,53,75,47,,50,65,65,30,,,50,30,40,70,60,74,50,70,71,55,66,60,67,62,93,68,,59,90,54,50,60,45,77,67,60,,60.9705882352941,,,,60,,,,60,,,,,50,51,,,,,,,,,,,,,,,,,38,,,,,,,,,
,standing423_6M.yuv,100,58,,50,70,48,,52,70,60,30,,,55,40,60,65,60,73,65,60,69,43,60,60,64,69,92,75,,63,85,34,55,55,50,85,60,70,,61.9117647058824,,,,55,,,,70,,,,,60,49,,,,,,,,,,,,,,,,,41,,,,,,,,,
,standing423_8M.yuv,60,46,,60,80,63,,52,74,70,60,,,60,50,60,60,80,76,65,70,73,59,80,60,68,65,94,73,,45,90,48,55,80,55,90,64,75,,66.4705882352941,,,,60,,,,60,,,,,70,53,,,,,,,,,,,,,,,,,29,,,,,,,,,
5,concert.yuv,60,70,75,83,62,75,64,60,80,77,74,90,65,75,60,80,80,80,,74,58,80,100,80,63,75,68,70,67,,,,,,,,,,,,73.0357142857143,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,
,concert-4M.yuv,20,27,40,50,35,30,44,15,20,43,16,40,40,20,60,10,45,20,,20,15,26,0,45,26,19,27,7,15,,,,,,,,,,,,27.6785714285714,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,
,concert-8M.yuv,40,44,65,50,42,45,47,29,40,57,29,50,60,40,60,40,59,60,,31,16,49,40,55,28,27,30,17,25,,,,,,,,,,,,41.9642857142857,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,
,concert-10M.yuv,40,44,50,50,26,60,48,29,60,54,48,60,50,30,30,10,57,40,,36,8,42,20,60,31,40,37,12,20,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,
,concert-14M.yuv,30,41,65,50,58,30,45,20,40,56,33,55,44,40,30,10,50,20,,30,20,46,20,60,35,57,52,32,22,,,,,,,,,,,,38.9642857142857,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
,concert-18M.yuv,50,56,65,64,56,55,50,40,80,59,37,75,45,55,60,40,57,40,,60,52,55,20,65,40,46,67,41,35,,,,,,,,,,,,52.3214285714286,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
,concert-24M.yuv,50,56,70,76,78,65,56,54,60,71,73,80,60,80,71,70,60,60,,65,41,67,89,75,46,70,57,51,40,,,,,,,,,,,,63.9642857142857,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,
,concert-30M.yuv,60,69,70,70,50,80,62,58,60,76,50,80,61,60,60,50,70,60,,70,38,72,60,70,57,66,54,47,53,,,,,,,,,,,,61.8928571428572,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,
6,foot.yuv,60,71,90,85,55,85,58,80,80,82,80,85,70,80,50,100,79,60,,75,44,80,80,75,66,75,73,63,75,,,,,,,,,,,,73.4285714285714,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,
,foot-4M.yuv,10,25,40,8,17,20,41,29,20,15,15,20,29,10,20,5,32,20,,25,6,22,0,30,20,9,30,6,20,,,,,,,,,,,,19.4285714285714,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
,foot-6M.yuv,30,46,55,10,26,45,53,35,40,40,46,35,45,30,60,20,39,20,,30,10,43,0,40,25,16,44,11,30,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,
,foot-10M.yuv,30,62,80,40,32,70,59,60,20,64,45,65,58,60,70,60,61,40,,36,15,70,10,50,40,31,42,17,35,,,,,,,,,,,,47.2142857142857,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,
,foot-14M.yuv,20,43,90,30,44,60,60,47,60,65,67,35,51,80,70,50,62,40,,64,13,43,70,60,45,41,47,31,47,,,,,,,,,,,,51.25,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,
,foot-18M.yuv,40,67,80,60,73,80,66,70,60,73,80,75,51,80,72,75,62,60,,73,48,64,40,70,54,50,84,42,70,,,,,,,,,,,,64.9642857142857,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,
,foot-22M.yuv,40,56,65,45,32,70,60,60,20,64,47,45,50,68,60,70,40,40,,67,11,58,20,65,35,44,72,25,50,,,,,,,,,,,,49.25,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
,foot-26M.yuv,50,46,80,66,74,85,66,60,60,79,80,75,58,80,80,90,76,80,,77,57,88,60,70,60,62,79,48,65,,,,,,,,,,,,69.6785714285714,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,
7,movie.yuv,60,86,95,90,66,75,70,79,80,81,74,90,72,86,90,70,75,60,,82,58,83,60,80,72,79,82,71,80,,,,,,,,,,,,76.6428571428571,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
,movie423_2-5M.yuv,20,26,60,15,11,16,39,17,20,24,15,35,45,0,20,10,40,20,,30,6,12,0,30,25,15,28,8,10,,,,,,,,,,,,21.3214285714286,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
,movie423_4M.yuv,10,34,75,16,12,30,45,24,20,35,25,40,65,0,50,5,45,20,,58,30,35,40,40,40,20,33,18,20,,,,,,,,,,,,31.6071428571429,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,
,movie423_7M.yuv,40,52,85,50,42,60,52,70,40,67,74,60,67,35,60,60,71,80,,72,18,40,0,45,53,28,49,25,55,,,,,,,,,,,,51.7857142857143,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,
,movie423_8M.yuv,20,44,70,15,29,45,45,73,40,64,31,40,56,20,60,15,45,40,,76,15,39,20,50,58,36,60,33,40,,,,,,,,,,,,42.1071428571429,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,
,movie423_9M.yuv,40,63,90,49,42,90,52,43,40,67,73,75,69,35,60,60,71,60,,81,32,49,40,60,60,38,68,52,50,,,,,,,,,,,,57.4642857142857,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,
,movie423_10M.yuv,50,67,90,63,50,60,54,60,60,73,75,65,64,40,70,75,80,40,,75,14,67,20,55,66,52,70,47,60,,,,,,,,,,,,59.3571428571429,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,
,movie423_14M.yuv,40,68,90,50,58,85,56,69,60,71,74,80,56,50,90,80,76,60,,81,50,51,20,70,63,61,74,59,64,,,,,,,,,,,,64.5,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,
8,voile.yuv,60,73,85,70,59,80,60,53,80,77,86,95,60,80,72,100,70,80,,80,80,91,80,80,85,78,73,71,80,,,,,,,,,,,,76.3571428571429,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,
,voile423_2-5M.yuv,30,14,45,10,14,16,34,9,0,15,4,20,20,1,10,10,20,40,,13,10,26,0,35,11,7,23,5,5,,,,,,,,,,,,15.9642857142857,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
,voile423_4M.yuv,40,25,70,20,21,25,50,20,20,25,36,25,40,10,40,15,30,20,,20,15,31,20,45,18,15,18,12,15,,,,,,,,,,,,26.4642857142857,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,
,voile423_6M.yuv,60,34,80,40,39,50,55,30,20,39,60,30,50,29,60,30,34,20,,38,20,26,30,50,30,19,28,27,40,,,,,,,,,,,,38.1428571428571,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,
,voile423_8M.yuv,50,62,85,60,54,70,57,70,20,48,53,70,60,40,70,60,53,60,,70,50,47,40,55,40,46,50,49,60,,,,,,,,,,,,55.3214285714286,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,
,voile423_9M.yuv,50,55,70,50,44,60,68,20,20,45,58,60,70,60,85,60,60,40,,34,43,68,50,70,48,38,57,36,50,,,,,,,,,,,,52.4642857142857,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
,voile423_11M.yuv,80,73,80,60,76,80,68,61,40,55,61,80,80,70,80,50,55,60,,66,55,64,100,75,53,58,55,42,50,,,,,,,,,,,,65.25,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,
,voile423_12M.yuv,70,76,85,63,84,90,60,71,60,55,75,80,60,70,80,70,55,60,,54,29,48,60,60,67,63,77,55,75,,,,,,,,,,,,66.1428571428571,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
9,above_marathon_250.yuv,90,80,,88,85,90,90,88,100,,,83,100,80,90,89,86,86,,,,,,,,,,,,,,,,,,,,,,,88.3333333333333,,,,80,,,,,,,80,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-5M.yuv,10,10,,20,30,6,15,15,20,,,5,0,11,0,10,7,3,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,20,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-8M.yuv,20,20,,40,40,27,38,35,35,,,17,9,30,15,20,36,9,,,,,,,,,,,,,,,,,,,,,,,26.0666666666667,,,,50,,,,,,,29,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-10M.yuv,32,30,,55,50,31,45,40,50,,,24,29,43,22,30,69,29,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,50,,,,,,,45,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-12M.yuv,47,35,,65,47,35,60,52,65,,,35,29,62,30,35,50,16,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,50,,,,,,,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-16M.yuv,49,40,,65,70,44,80,55,70,,,36,40,66,35,65,49,51,,,,,,,,,,,,,,,,,,,,,,,54.3333333333333,,,,65,,,,,,,67,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-24M.yuv,60,60,,75,75,57,70,72,85,,,54,60,68,41,80,80,86,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,70,,,,,,,62,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,above_marathon_298-32M.yuv,68,70,,82,77,76,82,75,90,,,76,70,70,45,70,82,84,,,,,,,,,,,,,,,,,,,,,,,74.4666666666667,,,,80,,,,,,,84,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,captain_250.yuv,80,80,,85,90,90,90,90,80,,,85,90,80,82,95,76,85,,,,,,,,,,,,,,,,,,,,,,,85.2,,,,85,,,,,,,74,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-1M.yuv,10,20,,15,20,3,5,15,25,,,13,2,11,2,10,14,4,,,,,,,,,,,,,,,,,,,,,,,11.2666666666667,,,,20,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-3M.yuv,40,50,,65,50,36,25,54,60,,,28,60,40,9,40,42,29,,,,,,,,,,,,,,,,,,,,,,,41.8666666666667,,,,60,,,,,,,37,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-5M.yuv,57,60,,68,60,65,35,60,70,,,48,58,58,44,50,61,40,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,90,,,,,,,66,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-6M.yuv,50,61,,50,72,60,30,78,75,,,63,88,51,40,70,65,56,,,,,,,,,,,,,,,,,,,,,,,60.6,,,,85,,,,,,,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-8M.yuv,60,70,,70,77,74,60,65,80,,,81,87,53,33,85,78,79,,,,,,,,,,,,,,,,,,,,,,,70.1333333333333,,,,85,,,,,,,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-12M.yuv,70,62,,79,75,85,70,85,75,,,75,85,74,70,80,86,91,,,,,,,,,,,,,,,,,,,,,,,77.4666666666667,,,,90,,,,,,,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,captain_298-18M.yuv,70,55,,80,78,72,85,68,80,,,70,79,80,55,90,81,85,,,,,,,,,,,,,,,,,,,,,,,75.2,,,,75,,,,,,,84,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,dance_in_the_woods_250.yuv,75,80,,85,80,84,83,90,100,,,83,77,80,53,70,75,62,,,,,,,,,,,,,,,,,,,,,,,78.4666666666667,,,,57,,,,,,,63,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-3M.yuv,20,30,,30,20,5,5,18,20,,,18,3,2,0,20,25,7,,,,,,,,,,,,,,,,,,,,,,,14.8666666666667,,,,10,,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-5M.yuv,35,40,,67,33,18,20,35,40,,,47,9,10,4,40,32,17,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,40,,,,,,,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-6M.yuv,40,50,,67,53,20,15,40,50,,,33,29,17,9,60,44,43,,,,,,,,,,,,,,,,,,,,,,,38,,,,30,,,,,,,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-8M.yuv,45,55,,70,50,42,45,65,65,,,50,60,20,14,50,48,27,,,,,,,,,,,,,,,,,,,,,,,47.0666666666667,,,,25,,,,,,,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-10M.yuv,54,60,,79,60,58,60,60,70,,,47,40,48,21,75,53,87,,,,,,,,,,,,,,,,,,,,,,,58.1333333333333,,,,48,,,,,,,50,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-14M.yuv,70,70,,84,70,69,70,70,85,,,73,60,34,35,85,81,60,,,,,,,,,,,,,,,,,,,,,,,67.7333333333333,,,,50,,,,,,,59,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dance_in_the_woods_298-18M.yuv,80,75,,80,73,71,74,75,90,,,78,77,60,46,90,60,62,,,,,,,,,,,,,,,,,,,,,,,72.7333333333333,,,,55,,,,,,,72,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,duck_fly_250.yuv,80,70,,90,75,86,95,71,90,,,82,98,82,88,85,81,96,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,90,,,,,,,69,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-4M.yuv,10,20,,35,25,4,5,10,20,,,14,10,26,7,10,27,10,,,,,,,,,,,,,,,,,,,,,,,15.5333333333333,,,,25,,,,,,,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-6M.yuv,20,20,,40,30,27,15,20,30,,,27,9,34,10,40,38,12,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,35,,,,,,,40,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-8M.yuv,25,30,,81,50,32,19,50,40,,,26,8,32,15,50,51,11,,,,,,,,,,,,,,,,,,,,,,,34.6666666666667,,,,40,,,,,,,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-12M.yuv,50,30,,72,52,9,40,55,55,,,32,20,39,23,70,45,31,,,,,,,,,,,,,,,,,,,,,,,41.5333333333333,,,,40,,,,,,,53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-16M.yuv,45,55,,65,57,37,50,60,55,,,51,41,49,29,70,64,21,,,,,,,,,,,,,,,,,,,,,,,49.9333333333333,,,,65,,,,,,,60,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-20M.yuv,60,60,,84,65,67,59,70,80,,,37,25,76,50,80,74,91,,,,,,,,,,,,,,,,,,,,,,,65.2,,,,60,,,,,,,76,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duck_fly_298-32M.yuv,60,65,,85,70,72,70,83,85,,,62,50,70,60,75,71,47,,,,,,,,,,,,,,,,,,,,,,,68.3333333333333,,,,70,,,,,,,53,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,fountain_man_250.yuv,90,90,100,82,90,90,,100,,96,,70,,,80,80,80,90,60,90,,,,,,,,,,,,,,,,,,,,,85.8666666666667,,,,,,,,80,,80,,91,,62,90,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-1M.yuv,5,5,10,15,15,5,,0,,2,,5,,,6,5,3,17,1,0,,,,,,,,,,,,,,,,,,,,,6.26666666666667,,,,,,,,25,,9,,8,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-2M.yuv,30,10,20,26,30,10,,5,,10,,9,,,15,15,11,36,7,5,,,,,,,,,,,,,,,,,,,,,15.9333333333333,,,,,,,,40,,11,,15,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-5M.yuv,40,30,40,55,50,30,,11,,22,,20,,,40,40,20,46,25,15,,,,,,,,,,,,,,,,,,,,,32.2666666666667,,,,,,,,50,,31,,46,,10,65,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-8M.yuv,65,65,60,71,55,70,,44,,45,,45,,,32,35,20,68,43,32,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,60,,57,,75,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-9M.yuv,59,60,80,68,65,50,,36,,61,,40,,,55,55,26,68,34,30,,,,,,,,,,,,,,,,,,,,,52.4666666666667,,,,,,,,65,,37,,83,,24,60,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-12M.yuv,70,40,80,63,60,50,,44,,35,,55,,,70,30,30,56,30,20,,,,,,,,,,,,,,,,,,,,,48.8666666666667,,,,,,,,70,,39,,66,,20,70,,,,,,,,,,,,,,,,,,,,,,,,,
,fountain_man_298-20M.yuv,75,80,90,65,80,60,,72,,82,,70,,,65,50,30,80,50,40,,,,,,,,,,,,,,,,,,,,,65.9333333333333,,,,,,,,65,,51,,76,,80,75,,,,,,,,,,,,,,,,,,,,,,,,,
14,group_disorder_250.yuv,83,80,98,64,85,90,,95,,95,,70,,,73,80,80,70,70,80,,,,,,,,,,,,,,,,,,,,,80.8666666666667,,,,,,,,85,,84,,77,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-2M.yuv,15,10,10,10,25,5,,0,,4,,10,,,10,5,6,18,3,0,,,,,,,,,,,,,,,,,,,,,8.73333333333333,,,,,,,,50,,9,,18,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,
